"","continent","location","lat","long","total_cases","total_deaths","case_fatality_rate","total_tests","positive_rate","hospital_beds_per_thousand","num_physicians_per_thousand","handwashing_facilities","gdp_per_capita","current_health_exp","govt_health_exp","population","population_density","pop_young","pop_working","pop_old","extreme_poverty","human_development_index","annual_intl_arrivals_thousands","total_cases_log","total_deaths_log","total_tests_log","gdp_per_capita_log","population_log","population_density_log","annual_intl_arrivals_thou_log","deaths_per_test","deaths_per_population"
"190","Asia","United Arab Emirates",23.424076,53.847818,453069,1477,0.00325998909658352,36247630,0.009,1.2,25.28,94.576,67293.483,3.3343,7.8905,9890400,112.442,14.71261177,84.13083877,1.156549456,0.2,0.89,21286,13.0237997107468,7.29776828253138,17.4058845578173,11.1168186758771,16.1070751476749,4.72243753314446,9.96580485860099,4.07474916291079e-05,0.000149336730567014
"191","Europe","United Kingdom",55.3781,-3.436,4343066,126813,0.0291989576027627,116704955,0.004,2.54,28.12,97.164,39753.244,9.6317,18.7396,67886004,272.898,17.69570052,63.79560384,18.50869564,0.2,0.932,36316,15.28409110827,11.7504688393894,18.5751595556528,10.5904467268155,18.0333404446251,5.60909809899561,10.5000136944916,0.00108661196090603,0.00186802864401917
"192","North America","United States",40,-100,30218683,548828,0.0181618768759711,363513517,0.069,2.77,23.83,87.847,54225.446,5.7589,11.2112,331002647,35.608,18.54931712,65.24107673,16.20960614,1.2,0.926,79746,17.2239709334489,13.2155403745005,19.7113270399411,10.9009055606497,19.6176369302882,3.57257033171355,11.2866018626494,0.00150978704871654,0.00165807737483139
"193","South America","Uruguay",-32.5228,-55.7658,95278,901,0.00945653771069922,1276551,0.142,2.8,50.79,77.159,20551.409,9.2962,19.7755,3473727,19.751,20.45807101,64.60068856,14.94124043,0.1,0.817,3469,11.4645542130448,6.80350525760834,14.0596724678621,9.93068478205083,15.0607386389302,2.98320412297672,8.15162164696975,0.000705808071906254,0.000259375592843076
"194","Asia","Uzbekistan",41.377491,64.585262,82146,625,0.0076084045479999,2251884,0.036,4,23.74,49.839,6253.104,6.4144,10.1703,33469199,76.134,28.79781331,66.60697097,4.595215725,15,0.72,5346,11.3162534308618,6.4377516497364,14.627277757146,8.74083325944562,17.3261361410218,4.33249494564283,8.58410389669886,0.000277545379779776,1.86738858016889e-05
"195","Oceania","Vanuatu",-15.3767,166.9592,3,39,0.0104754230459307,440609,0.001,2.61,1.65,25.209,2921.909,3.3169,5.3016,307150,22.662,38.71055949,57.67335152,3.616088995,13.2,0.609,116,1.09861228866811,3.66356164612965,12.9959131398326,7.97999244877299,12.6350915065921,3.12068951295837,4.75359019110636,8.85138524179034e-05,0.000126973791307179
"196","Europe","Vatican",41.9029,12.4534,27,56,0.0124223602484472,186726,0.04,2.397,33.33,85.198,48472.545,9.761,15.3043,809,508.544,16.40095872,64.51118404,19.60531972,0.2,0.944,12749,3.29583686600433,4.02535169073515,12.1373975806802,10.7887528341662,6.69579891705849,6.23155174075208,9.45320811613812,0.000299904673157461,0.069221260815822
"197","South America","Venezuela",6.4238,-66.5897,155663,1555,0.00998952866127468,7106703,0.16,0.8,21.85,67.779,16745.022,7.2263,16.0513,28435943,36.253,24.59552588,66.07301349,8.765830007,1.3,0.711,3904,11.9554486931017,7.34923082461333,15.7765489811511,9.72585629905246,17.1631645015282,3.59052213649707,8.26975694753298,0.000218807511725198,5.468431273758e-05
"198","Asia","Vietnam",14.058324,108.277199,2586,35,0.0135344160866203,2482302,0.147,2.6,6.77,85.847,6171.884,5.5533,6.0787,97338583,308.127,23.21382761,69.23249944,7.553672942,2,0.704,5346,7.8578675593318,3.55534806148941,14.7246969134124,8.72775941875037,18.3937060050415,5.7305120356481,8.58410389669886,1.40998154132736e-05,3.59569647731568e-07
"199","Asia","Yemen",15.552727,48.516388,3969,832,0.209624590576972,2251884,0.186,0.7,5.25,49.542,1479.147,4.2346,2.2287,29825968,53.508,31.09919594,64.18303487,4.595215725,18.8,0.47,367,8.28626945278307,6.72383244082121,14.627277757146,7.29922084925252,17.2108899814149,3.97983117543334,5.90536184805457,0.000369468409562837,2.78951549870904e-05
"200","Africa","Zambia",-13.133897,27.849332,87583,1198,0.0136784535811744,1218744,0.037,2,11.87,13.938,3689.251,4.4703,6.8567,18383956,22.995,44.4625086,53.42217666,2.115314738,57.5,0.584,1072,11.3803421941647,7.08840877867539,14.0133313782052,8.21317873540132,16.7269888856823,3.13527680099189,6.97728134163075,0.000982979198256566,6.51655171498452e-05
"201","Africa","Zimbabwe",-19.015438,29.154857,36818,1519,0.0412569938616981,423635,0.014,1.7,2.1,36.791,1899.775,6.6359,15.2343,14862927,42.729,42.15812701,54.86126493,2.980608063,21.4,0.571,2580,10.5137421350065,7.32580750259577,12.9566275144142,7.54949073708957,16.5143805495937,3.75487784662056,7.85554467791566,0.00358563385933646,0.000102200596154445
