continent,location,lat,long,total_cases,total_deaths,case_fatality_rate,total_tests,positive_rate,hospital_beds_per_thousand,num_physicians_per_thousand,handwashing_facilities,gdp_per_capita,current_health_exp_%gdp,govt_health_exp_%totalgovtexp,population,population_density,0_to_14(%),15_to_64(%),65_and_above(%),extreme_poverty,human_development_index,annual_intl_arrivals_thousands,total_cases_log,total_deaths_log,total_tests_log,gdp_per_capita_log,population_log,population_density_log,annual_intl_arrivals_thou_log
Asia,Iran,32.427908,53.688046,1846923,62308,0.03373611135927161,11844528,0.128,1.5,18.49,90.66999999999999,19082.62,4.1666,7.8694,83992953,49.830999999999996,24.290822869999996,66.9828933,7.652343941,0.2,0.7829999999999999,8789,14.429031569086586,11.039845107446496,16.28737654674392,9.856533252137066,18.24624346043124,3.9086372803239375,9.081256218564645
Asia,Iraq,33.22319100000001,43.679291,827157,14177,0.017139430603863595,7793654,0.14300000000000002,1.4,7.08,94.576,15663.985999999999,4.1666,4.983600000000001,40222503,88.12499999999999,38.02092726,58.58053961,3.3985331339999996,2.5,0.6739999999999999,892,13.625749798793283,9.559376212117632,15.868820370772474,9.65911947100074,17.509937173092446,4.478756261132433,6.79346613258001
Europe,Ireland,53.1424,-7.692099999999999,233937,4653,0.019889970376639865,3896983,0.036,2.96,33.13,97.164,67335.29299999999,7.184399999999999,20.0431,4937796,69.874,21.150374960000004,64.62679428999999,14.22283075,0.2,0.9550000000000001,10926,12.362807127321497,8.445267451844648,15.175713221981335,11.117439791252115,15.412429635761711,4.2466936201027305,9.298900548955663
Europe,Isle of Man,54.23610000000001,-4.5481,10838,115,0.012422360248447204,2843469,0.036,4.51,33.33,86.979,11803.431,8.095600000000001,12.8232,85032,147.872,16.39360314,68.10508936999999,15.38917207,1,0.7949999999999999,1711,9.29081375612606,4.74493212836325,14.86053534361224,9.376145530902335,11.350782935213418,4.996347034687856,7.444833273892193
Asia,Israel,31.046051000000002,34.851611999999996,831383,6165,0.0074153548966000024,14778889,0.015,2.9899999999999998,46.25,94.576,33132.32,7.4075,11.9277,8655541,402.606,27.88557191,59.90575367,12.208674409999999,0.5,0.919,4121,13.630845858153567,8.726643415598444,16.508710301511492,10.408264520007865,15.973710251860211,5.997958416224297,8.323851131338817
Europe,Italy,41.871939999999995,12.56738,3512453,107636,0.03064411110981414,48108527,0.07100000000000001,3.18,39.77,97.164,35220.084,8.8403,13.4217,60461828,205.859,13.166657510000002,63.821205840000005,23.01213665,2,0.892,61567,15.071825211751696,11.586510443243633,17.68896999587164,10.46937176705587,17.91752278172455,5.327191468416354,11.02788129168973
North America,Jamaica,18.1096,-77.29750000000001,37747,566,0.014994569104829523,270017,0.24600000000000002,1.7,13.06,66.425,8193.571,5.9884,13.315600000000002,2961161,266.879,23.5312194,67.54638892999999,8.922391673,3.2,0.734,2473,10.538661281320572,6.338594078203183,12.506240198961391,9.01110510135424,14.901091979128001,5.586795372160964,7.813187267521416
Asia,Japan,36.204823999999995,138.252924,466563,9021,0.019335009419949718,8979084,0.03,13.05,24.12,94.576,39002.22299999999,10.9359,23.6443,126476458,347.77799999999996,12.57303102,59.424919700000004,28.002049279999994,0.2,0.919,31192,13.053148338382856,9.107310471656639,16.010408430621233,10.571373923487345,18.655566746045782,5.851564345175411,10.347916930662434
Europe,Jersey,23.7,12.453400000000002,2254,56,0.012422360248447204,186726,0.04,2.397,33.33,85.198,48472.545,9.761,15.3043,101073,508.54400000000004,16.400958720000006,64.51118404000002,19.60531972,0.2,0.9440000000000001,12749,7.720461694599722,4.02535169073515,12.1373975806802,10.788752834166171,11.523598307026532,6.231551740752079,9.453208116138121
Asia,Jordan,31.24,36.51,582133,6472,0.011117734263475872,5664285,0.191,1.4,23.24,71.17999999999999,8337.49,8.119299999999999,12.392000000000001,10203140,109.285,33.56224213000001,62.54434156999999,3.893416292,0.1,0.729,4150,13.274454222943092,8.775240458738327,15.549691230886404,9.02851749082286,16.138206074017777,4.693959148802151,8.330863613224745
Asia,Kazakhstan,48.0196,66.9237,290792,3220,0.011073206965803736,8457728,0.038,6.7,39.8,98.99900000000001,24055.588000000003,3.1254,7.8694,18776707,6.681,28.881249939999996,63.46640612,7.652343941,0.1,0.8250000000000001,8789,12.580363513946716,8.077136638538454,15.950591137594648,10.088122597817344,16.74812767025658,1.8992676769433403,9.081256218564645
Africa,Kenya,-0.0236,37.9062,129330,2104,0.01626846052733318,924770,0.07300000000000001,1.4,1.57,24.651000000000003,2993.028,4.802499999999999,7.9821,53771300,87.324,39.193374260000006,58.38279903,2.42382671,36.8,0.601,1364,11.77012255640929,7.651595573857601,13.737300336927714,8.004040862970985,17.800250425544,4.46962533915295,7.218176838403408
Europe,Kosovo,16.538800000000002,9.537499,84172,1811,0.021515468326759494,764199,0.29900000000000004,4.28,28.74,94.043,9795.834,6.9953,12.8232,1932774,168.155,15.889691070000001,68.39780528000001,14.20263062,0.6,0.7799999999999999,1711,11.340617603358513,7.501634457883413,13.54658350543611,9.189712472236359,14.4744668346454,5.124886173099529,7.444833273892193
Asia,Kuwait,29.311660000000003,47.48176599999999,227178,1279,0.005629946561726927,2005458,0.14700000000000002,2,26.459999999999997,94.576,65530.537,5.2914,8.9203,4270563,232.12800000000001,21.56983829,75.66632272,2.763838983,0.2,0.806,8508,12.333489130154796,7.153833801578843,14.511383021564573,11.090271526719942,15.26725622663044,5.447288943660437,9.048762176320128
Asia,Kyrgyzstan,41.20438,74.766098,87946,1495,0.01699906760966957,2145944,0.186,4.5,22.130000000000003,89.22,3393.474,6.185899999999999,6.1876,6524191,32.333,31.09919594,64.18303486999999,4.595215725,1.4,0.697,423,11.384478268744857,7.3098814858247865,14.579090106771721,8.129609454408259,15.691027518811966,3.4760883805037817,6.0473721790462776
Asia,Laos,19.856270000000002,102.495496,49,1495,0.011117734263475872,2145944,0.186,1.5,23.24,49.839,6397.360000000001,6.4144,7.900600000000001,7275556,29.715,25.34019489,66.60697096999999,6.092974372999999,22.7,0.613,1652,3.8918202981106265,7.3098814858247865,14.579090106771721,8.763640684246235,15.800030794218342,3.391651968818624,7.409741954080923
Europe,Latvia,56.879599999999996,24.6032,100716,1872,0.018586917669486478,1763959,0.039,5.57,31.91,97.164,25063.846,5.9557,9.0019,1886202,31.212,16.30775621,63.355732790000005,20.336511,0.7,0.8660000000000001,1946,11.520059953870827,7.534762657037537,14.383071272648374,10.129181688342484,14.450075841424304,3.440802636254515,7.57353126274595
Asia,Lebanon,33.854699999999994,35.862300000000005,458338,6058,0.01321731996910577,2145944,0.03,2.9,21.04,94.043,13367.564999999999,8.195500000000001,13.5022,6825442,594.5609999999999,25.572219839999995,67.15448852999998,7.273291633000001,1.8,0.744,1964,13.035362182181046,8.709134991587183,14.579090106771721,9.500586529350807,15.736167658843097,6.387823318100043,7.582738488914411
Africa,Lesotho,-29.610000000000003,28.2336,10686,315,0.029477821448624368,267671,0.07300000000000001,0.7,0.69,2.117,2851.1530000000002,8.7632,11.8211,2142252,73.562,32.466917110000004,62.607257059999995,4.9258258249999995,59.6,0.527,1173,9.276689752517717,5.752572638825633,12.497513893419907,7.955478752853305,14.577368170128782,4.29812858805602,7.067319848653476
Africa,Liberia,6.428055,-9.429499000000002,2042,85,0.0416258570029383,214525,0.10500000000000001,0.8,0.38,1.1880000000000002,752.7880000000001,8.1553,4.2040999999999995,5057677,49.127,40.75291845,55.96138756999999,3.285693974,38.6,0.48000000000000004,107,7.621684998724611,4.442651256490317,12.276181560675322,6.623783647655277,15.436417844940062,3.8944087818288886,4.672828834461906
Africa,Libya,26.3351,17.228330999999997,156116,2602,0.01666709369955674,1218744,0.043000000000000003,3.7,20.91,44.6,17881.509,3.5854,4.334099999999999,6871287,3.623,28.068276989999998,67.47348414,4.4582388779999995,2,0.724,1623,11.958354599649384,7.86403565907245,14.013331378205153,9.79152244113952,15.74286198289783,1.2873024119129401,7.392031567514591
